id,user_id,stress_level,login_time
1,1,Low Stress,2023-09-04 02:09:10.046792
2,1,Low Stress,2023-09-04 02:14:22.615992
3,1,Low Stress,2023-09-04 02:17:57.890788
4,2,Low Stress,2023-09-04 02:19:22.424843
5,2,Low Stress,2023-09-04 02:29:28.067208
6,2,Low Stress,2023-09-04 02:29:38.365879
7,2,Low Stress,2023-09-04 02:31:29.337577
8,2,Low Stress,2023-09-04 03:17:12.033551
9,2,Low Stress,2023-09-04 03:20:49.430136
10,2,Low Stress,2023-09-04 03:21:46.483664
11,2,Low Stress,2023-09-04 03:23:07.635679
12,2,Low Stress,2023-09-04 03:50:57.128479
13,2,Low Stress,2023-09-04 04:04:46.065441
14,2,Low Stress,2023-09-04 04:04:54.386899
15,2,Low Stress,2023-09-04 04:05:01.021313
16,5,High Stress,2023-09-10 17:53:04.058277
17,6,Low Stress,2023-09-10 18:00:05.266873
18,6,High Stress,2023-09-10 18:22:47.963209
19,6,Low Stress,2023-09-10 18:32:59.041052
20,6,Low Stress,2023-09-20 05:56:20.890722
21,2,Low Stress,2023-09-24 11:58:12.844671
22,2,High Stress,2023-09-24 12:07:15.183628
23,2,Low Stress,2023-09-24 12:18:05.035186
24,2,High Stress,2023-09-24 12:23:04.841071
25,2,Low Stress,2023-09-24 12:27:03.852818
26,2,Low Stress,2023-09-24 12:32:01.005196
27,2,Low Stress,2023-09-24 12:33:37.855039
28,2,Low Stress,2023-09-24 14:47:11.395236
29,2,Low Stress,2023-09-24 14:50:56.981253
30,2,Low Stress,2023-09-24 14:51:06.199173
31,2,Low Stress,2023-09-24 14:54:57.364426
32,2,Low Stress,2023-09-24 15:01:20.060194
33,2,Low Stress,2023-09-24 15:04:35.779110
34,2,High Stress,2023-09-24 15:11:00.195472
35,2,Low Stress,2023-09-24 15:15:18.488271
36,2,Low Stress,2023-09-24 15:18:04.724282
37,2,High Stress,2023-09-24 15:19:43.288489
38,2,Low Stress,2023-09-24 15:24:39.461475
39,7,Low Stress,2023-09-24 15:27:40.766537
40,7,High Stress,2023-09-24 15:33:15.379655
41,7,High Stress,2023-09-24 15:34:58.994566
42,7,High Stress,2023-09-24 15:37:09.343170
43,7,High Stress,2023-09-24 15:48:52.740542
44,7,High Stress,2023-09-24 15:53:05.650621
45,7,Low Stress,2023-09-24 16:02:50.766382
46,7,High Stress,2023-09-24 16:14:15.251642
47,7,Low Stress,2023-09-24 16:19:17.576673
48,9,Low Stress,2023-10-08 14:14:57.526348
49,9,Low Stress,2023-10-08 14:22:38.365888
50,9,High Stress,2023-10-08 14:32:42.776305
51,9,High Stress,2023-10-23 18:00:12.777186
52,9,Low Stress,2023-10-24 11:57:55.422896
53,9,Low Stress,2023-10-24 12:00:42.583233
54,9,Low Stress,2023-10-24 13:54:26.068150
55,9,High Stress,2023-10-24 14:22:05.448665
56,9,Low Stress,2023-10-24 14:24:46.709832
57,9,High Stress,2023-10-24 19:01:53.038570
58,9,High Stress,2023-10-24 19:12:34.385029
59,9,Low Stress,2023-10-24 20:26:59.538909
60,9,Low Stress,2023-10-25 06:54:45.665753
61,9,Low Stress,2023-10-25 06:55:48.812514
62,9,High Stress,2023-10-25 06:58:50.403229
63,9,High Stress,2023-10-25 07:05:11.398949
64,9,High Stress,2023-10-25 14:26:36.552298
65,9,Low Stress,2023-10-25 19:27:44.577586
66,9,Low Stress,2023-10-25 19:33:36.003595
67,9,High Stress,2023-10-26 08:30:50.520901
68,9,High Stress,2023-10-26 08:33:36.929613
